Site,Region,Sex,SVL,HS,RW1,RW2,RW3,RW4,RW5,RW6,RW7,RW8,RW9,RW10,RW11,RW12,RW13,RW14,RW15
Miller,West,F,95,436.738085,-0.056799,0.004398,-0.001235,0.003636,-0.002723,0.013288,-0.001531,0.004504,-0.005449,0.001258,0.006843,-0.007722,-0.000282,-0.001886,-0.001254
Miller,West,F,109,513.735079,-0.035070,0.043224,-0.022354,0.008998,0.001700,0.000790,0.010933,0.003672,-0.010624,0.002613,-0.001711,0.001938,0.000646,-0.006575,0.000919
Miller,West,F,45.5,275.265341,-0.010183,-0.060489,0.008884,0.001919,-0.027527,-0.005434,0.006741,-0.010458,-0.004277,0.008281,0.007480,-0.002351,-0.001505,-0.005692,-0.001073
Miller,West,F,78.3,396.903011,-0.007717,-0.005611,0.013685,-0.009650,0.012020,-0.024740,-0.006060,-0.013534,0.005439,0.007889,-0.002026,-0.003930,-0.005522,-0.003740,0.001346
Miller,West,F,104,453.496200,0.050359,-0.030070,-0.004511,-0.002674,0.014147,-0.000695,-0.000268,-0.006078,-0.002380,-0.006449,-0.001900,0.003777,0.001932,0.001903,-0.005666
SW,West,F,88.5,760.660458,-0.023977,0.031129,-0.010679,0.002268,-0.018188,-0.008475,0.005069,-0.000065,0.009808,-0.003330,-0.007459,0.000843,0.006787,-0.004399,0.000803
ENB,West,F,68.1,743.689126,-0.014569,0.024681,-0.003533,-0.011358,0.007478,-0.013877,-0.001250,-0.008707,0.001919,-0.000751,-0.000122,-0.002513,0.000765,-0.000427,0.000105
ENB,West,F,86.2,863.417958,0.018051,0.047484,0.006098,0.013116,-0.006410,-0.013214,0.000028,0.002412,-0.001633,-0.012089,0.001404,0.002033,-0.000851,-0.005251,-0.003891
ENB,West,F,77.5,569.260851,-0.020942,0.014521,0.016216,0.008062,0.015989,0.002409,-0.008701,-0.004205,-0.000518,-0.002103,0.006661,0.001481,0.000621,0.000005,0.002694
ENB,West,F,78.9,1026.300084,0.022314,0.003067,0.010114,0.007748,0.014540,-0.012353,0.019833,0.000184,0.004267,0.007077,0.002021,0.005539,-0.000855,0.001708,-0.001439
SW,West,F,116.4,888.828929,0.011624,-0.004050,-0.032105,-0.022470,0.003683,0.001096,-0.004948,-0.000136,0.009213,-0.012547,0.006893,-0.005678,0.000676,0.001333,0.001386
SW,West,F,81.2,1181.868863,0.055645,0.009580,0.017004,0.022568,0.001119,0.000510,-0.004558,-0.002021,-0.000617,-0.012690,0.004564,0.005744,0.004343,0.000366,0.007136
Miller,West,F,76.6,400.123891,0.003549,-0.036071,-0.022060,0.006398,0.035771,0.000762,0.022780,0.005321,-0.000266,-0.002470,-0.006649,-0.003982,0.001694,-0.001351,-0.001765
SW,West,F,51.6,449.384748,0.021308,-0.090766,-0.057336,-0.004080,0.003191,0.003388,-0.002029,-0.009605,0.006719,0.011157,-0.007923,0.000457,-0.000292,-0.010930,0.001994
SW,West,F,81.7,752.901178,0.010519,0.026792,0.045501,-0.012670,-0.016158,-0.005474,-0.010892,0.000295,-0.002622,-0.006337,0.005734,0.005990,0.008670,-0.004233,-0.000691
SW,West,F,111.8,774.789035,0.035986,-0.025962,-0.014057,0.001454,0.022366,-0.018191,0.011606,-0.003940,0.001903,-0.006919,0.001630,-0.002719,0.006355,-0.006094,0.000444
SW,West,F,88.6,631.127171,0.076577,-0.032781,0.031226,-0.013447,-0.009828,-0.003704,0.007441,0.003448,0.006205,0.000917,-0.000352,-0.003495,0.000836,0.009852,-0.001689
Miller,West,F,108,430.205819,-0.048973,-0.031217,0.044679,-0.031937,-0.001675,-0.006697,-0.010529,-0.002468,0.005865,-0.004359,-0.002653,0.004434,0.002346,-0.000267,0.004931
BREWERS,West,F,61.2,700.091600,-0.008868,0.041377,-0.000013,0.008430,0.000198,-0.014542,0.001103,0.004299,0.002329,0.000258,0.005683,0.000988,-0.003155,0.006136,-0.003501
Miller,West,F,101.9,455.704772,0.033945,0.022221,-0.008426,-0.014924,0.011443,-0.001437,-0.018504,0.003580,-0.010463,0.003396,0.001842,0.003190,0.003625,-0.001050,-0.005147
